run_id,data_profile,datetime,random_seed,model_phase1,model_phase2,temperature,prompt_variant,spec_status,sample_selection,outcome_definition,treatment_definition,model_type,model_specification_line,control_variables,fixed_effects,sample_weighting,se_adjustment,point_est,SE,sample_size,execution_status
run_20260503T234919Z_f8f41f,expanded,2026-05-03T23:49:19Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"bpl == 200 (born in Mexico) | hispan == 1 (Mexican Hispanic ethnicity) | citizen == 3 (non-citizen, proxy for undocumented status) | yrimmig > 0 and yrimmig <= 2007 (immigrated by 2007, at least 5 years in US by June 2012) | (yrimmig - birthyr) < 16 (arrived before age 16, DACA requirement) | age >= 18 and age <= 40 at survey year | sex in (1, 2) (non-missing sex) | empstat in (1, 2, 3) (non-missing employment status) | not (empstat == 1 and uhrswork == 0) (drop employed with missing hours) | year in (2009, 2010, 2011, 2013, 2014, 2015, 2016) (pre-DACA 2009-2011, post-DACA 2013-2016; exclude 2012 transition year) | birthyr >= 1982 (treat=1: under 31 on June 15, 2012) OR birthyr in [1972, 1981] (treat=0: 31-40 on June 15, 2012)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),(df['birthyr'] >= 1982).astype(int),OLS,"model = smf.ols(formula='full_time ~ treat * post + age + age_sq + C(year) + C(statefip) + C(sex)', data=df).fit(cov_type='HC1')",age | age_sq,C(year) | C(statefip) | C(sex),,HC1,-0.021895,0.008672,72619,success
run_20260504T000638Z_d8958e,expanded,2026-05-04T00:06:38Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Mexican Hispanic origin) | bpl == 200 (Born in Mexico) | citizen == 3 (Not a citizen; proxy for undocumented status) | year in [2009, 2010, 2011, 2013, 2014, 2015, 2016] (pre and post periods; 2012 excluded as transition year) | age between 15 and 40 | yrimmig >= 1900 and yrimmig <= 2007 (valid immigration year; arrived by 2007 per DACA continuous-presence criterion) | yrimmig - birthyr_use < 16 (arrived before age 16, per DACA criterion) | birthyr_use in [1972, 1997] (age 15-40 as of June 2012, covering treatment and control cohorts)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),(df['birthyr_use'] >= 1982) & (df['birthyr_use'] <= 1997),WLS,"smf.wls('empstat_ft ~ treat * post + C(statefip) + C(year)', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",,C(statefip) | C(year),df['perwt'],cluster; {'groups': df['statefip']},0.129994,0.009724,79835,success
run_20260504T002309Z_830db6,expanded,2026-05-04T00:23:09Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"Hispanic origin = Mexican (HISPAN == 1) | Born in Mexico (BPL == 200) | Non-citizen (CITIZEN in {3, 4}) | Survey years 2009-2011 and 2013-2016 (year 2012 excluded as DACA transition year) | Non-institutional group quarters (GQ != 3) | Valid immigration year (yrimmig > 0 and yrimmig != 996) | Age 18-45 in survey year | Arrived in US before age 16 (yrimmig - birthyr <= 15) | Immigrated by 2007 (yrimmig <= 2007, satisfying 5-year continuous presence requirement) | birthyr != 1981 (excluded: ambiguous relative to June 15 DACA age cutoff)",((df['empstat'] == 1) & (df['uhrswork'] >= 35)).astype('int8'),(df['birthyr'] >= 1982).astype('int8'),WLS,"result = smf.wls('full_time ~ treat * post + C(year) + C(statefip) + C(age) + sex + educ + state_unemp', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",sex | educ | state_unemp,C(year) | C(statefip) | C(age),df['perwt'],cluster; {'groups': df['statefip']},0.010429,0.005386,75667,success
run_20260504T004912Z_b2a9bc,expanded,2026-05-04T00:49:12Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"Hispanic of Mexican origin: hispan == 1 | Born in Mexico: bpl == 200 | Not a US citizen (proxy for undocumented): citizen == 3 | Survey years 2009-2011 (pre-DACA) and 2013-2016 (post-DACA); excludes 2012 | Immigrated to the US between 1970 and 2007 (yrimmig >= 1970 and yrimmig <= 2007) | Age at arrival 0-21 years (treatment: arrived before 16; control: arrived at 16-21) | Born 1982 or later (birthyr >= 1982; under 31 as of June 15, 2012) | Working age at survey time: 18-35 years old",((df['empstat'] == 1) & (df['uhrswork'] >= 35)).astype('int8'),"(df['age_at_arrival'] <= 15).astype('int8')  # age_at_arrival = yrimmig - birthyr; sample restricted to birthyr >= 1982 (under 31 on June 15, 2012)",OLS,"smf.ols('full_time ~ daca_eligible * post + C(statefip) + C(year) + age', data=df).fit(cov_type='HC1')",age,C(statefip) | C(year),,HC1,0.091618,0.007069,85704,success
run_20260504T010607Z_f02f41,expanded,2026-05-04T01:06:07Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Hispanic-Mexican origin) | bpl == 200 (born in Mexico) | citizen == 3 (non-citizen, approximating undocumented/unlawful status) | yrimmig > 0 and yrimmig <= 2007 (immigrated to US by 2007) | (yrimmig - birthyr) < 16 (arrived before 16th birthday) | birthyr >= 1976 and birthyr <= 1996 (treatment cohort 1982-1996 + control cohort 1976-1981) | empstat in [1, 2, 3] (in civilian labor force or NILF; excludes N/A) | year in [2009, 2010, 2011, 2013, 2014, 2015, 2016] (pre-DACA and post-DACA years; 2012 excluded as transition year)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),(df['birthyr'] >= 1982).astype('int8'),WLS,"result = smf.wls('full_time ~ did + daca_eligible + birthyr_c + C(sex) + C(educ) + C(statefip) + C(year)', data=df, weights=df['perwt_adj']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",daca_eligible | birthyr_c,C(sex) | C(educ) | C(statefip) | C(year),df['perwt_adj'],cluster; {'groups': df['statefip']},0.139815,0.011753,70703,success
run_20260504T012336Z_a6148c,expanded,2026-05-04T01:23:36Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Hispanic-Mexican ethnicity) | bpl == 200 (born in Mexico) | citizen == 3 (non-citizen, proxy for undocumented status) | yrimmig - birthyr <= 15 (arrived before 16th birthday, DACA criterion) | yrimmig <= 2007 (arrived by 2007, proxy for continuous US residence since June 15, 2007) | birthyr in [1975, 1994] (control group 1975-1981; treatment group 1982-1994) | year in {2009, 2010, 2011, 2013, 2014, 2015, 2016} (pre/post periods, 2012 excluded as DACA transition year)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),(df['birthyr'] >= 1982).astype(int),WLS,"result = smf.wls('fulltime ~ daca_eligible * post + C(year) + C(statefip)', data=df, weights=df['weight']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",,C(year) | C(statefip),df['weight'],cluster; {'groups': df['statefip']},0.16714,0.009422,68854,success
run_20260504T013902Z_3f357a,expanded,2026-05-04T01:39:02Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Hispanic origin: Mexican) | bpld == 20000 (born in Mexico, detailed birthplace code) | citizen in [3, 4] (not a US citizen) | yrimmig > 0 and yrimmig <= 2007 (immigrated by 2007, continuous US residence since then) | yrimmig <= (year - age) + 15 (arrived before 16th birthday) | birth_year (year - age) in [1977, 1986] (bandwidth around DACA age cutoff) | age between 18 and 40 (working-age adults) | survey year in {2009, 2010, 2011, 2013, 2014, 2015, 2016} (pre/post periods; 2012 excluded as transition year)",(df['uhrswork'] >= 35).astype(int),((df['year'] - df['age']) >= 1982).astype(int),WLS,"smf.wls('full_time ~ daca_eligible * post + C(year) + C(statefip) + age + age_sq', data=df, weights=df['perwt']).fit(cov_type='HC1')",age | age_sq,C(year) | C(statefip),df['perwt'],HC1,0.040556,0.019881,29479,success
run_20260504T015424Z_a8baa6,expanded,2026-05-04T01:54:24Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Mexican Hispanic origin) | bpl == 200 (Born in Mexico) | citizen == 3 (Not a citizen; proxy for undocumented status) | yrimmig > 0 and yrimmig <= 2007 (immigrated by 2007; proxy for 5-yr continuous US presence) | arrived_as_child: yrimmig <= birthyr + 15 (arrived before 16th birthday) | birthyr in 1972-1996 (defines treatment and control birth cohorts) | age >= 18 and age <= 45 in survey year (working-age adults) | year in {2009, 2010, 2011, 2013, 2014, 2015, 2016} (excludes 2012 transition year) | treatment group: birthyr >= 1982 and arrived_as_child == 1 | control group: birthyr in 1972-1981 and arrived_as_child == 1",(empstat == 1) & (uhrswork >= 35),(birthyr >= 1982) & (yrimmig <= birthyr + 15),WLS,"smf.wls('full_time ~ daca_eligible + daca_eligible:post + age + I(age**2) + C(sex) + C(year) + C(statefip)', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",daca_eligible:post | age | I(age**2),C(sex) | C(year) | C(statefip),df['perwt'],cluster; {'groups': df['statefip']},-0.003099,0.010395,73394,success
run_20260504T021437Z_fc4116,expanded,2026-05-04T02:14:37Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Hispanic origin: Mexican) | bpl == 200 (Born in Mexico) | citizen in [3, 4] (Not a US citizen — proxy for undocumented status) | yrimmig > 0 and yrimmig <= 2007 (Arrived in US by 2007 — proxy for continuous presence since June 15, 2007) | yrimmig - birthyr < 16 (Arrived before 16th birthday — DACA eligibility condition) | birthyr >= 1977 (Control group lower bound: age 31-35 as of June 15, 2012) | birthyr <= 1996 (Treatment group upper bound: at least age 17 in 2013) | year != 2012 (Exclude DACA rollout year; pre-period: 2006-2011, post-period: 2013-2016)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),df['birthyr'] >= 1982,WLS,"smf.wls('full_time ~ treatment * post + C(year) + C(statefip)', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",,C(year) | C(statefip),df['perwt'],cluster; {'groups': df['statefip']},0.237208,0.011167,108757,success
run_20260504T023517Z_c39e6f,expanded,2026-05-04T02:35:17Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"ethnically Hispanic-Mexican: hispan == 1 | born in Mexico: bpl == 200 | non-citizen (proxy for lacking lawful status): citizen == 3 | survey years 2009, 2010, 2011, 2013, 2014, 2015, 2016 (2012 excluded as DACA transition year) | birth year 1972-1997: defines treated cohort (birthyr >= 1982, age < 31 at June 2012) and control cohort (birthyr 1972-1981, age 31-40 at June 2012) | immigrated to the US (yrimmig > 0) by 2007 or earlier (yrimmig <= 2007, proxy for continuous residence since June 15 2007) | arrived before age 16: (yrimmig - birthyr) >= 0 and < 16 (key DACA arrival-age criterion) | at least 18 years old at survey time: age >= 18",((empstat == 1) & (uhrswork >= 35)).astype(float),(birthyr >= 1982).astype(float)  # age < 31 as of June 15 2012 — DACA-eligible age cohort,OLS,"smf.ols('employed_ft_dm ~ post_dm + treated_dm + post_treated_dm', data=df).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",treated_dm | post_treated_dm,,,cluster; {'groups': df['statefip']},0.05818864273916822,0.0035146064366789282,73237,success
run_20260504T030127Z_eee035,expanded,2026-05-04T03:01:27Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"hispan == 1 (Mexican-Hispanic) | bpl == 200 (born in Mexico) | citizen == 3 (not a citizen, undocumented proxy) | yrimmig > 0 and yrimmig <= 2007 (immigrated by 2007, continuous US residence criterion) | yrimmig <= birthyr + 15 (arrived before 16th birthday) | birthyr between 1975 and 1996 (cohort window: control born 1975-1981, treated born 1982-1996) | age >= 16 (working age) | year in [2009, 2010, 2011, 2013, 2014, 2015, 2016] (pre-DACA and post-DACA periods; 2012 excluded as transition year) | perwt > 0 (valid survey weight)",(df['uhrswork'] >= 35).astype('int8'),(df['birthyr'] >= 1982).astype('int8'),WLS,"model = smf.wls('full_time ~ treated + post + treated:post + C(sex) + educ + C(statefip)', data=df, weights=df['perwt']).fit(cov_type='HC1')",post | treated:post | educ,C(sex) | C(statefip),df['perwt'],HC1,0.127783,0.009558,72950,success
run_20260504T031711Z_5f92d4,expanded,2026-05-04T03:17:11Z,,claude-sonnet-4.6,claude-sonnet-4.6,,,available,"BPL == 200 (born in Mexico) | HISPAN == 1 (Hispanic-Mexican ethnicity) | CITIZEN in [3, 4] (non-citizen; proxy for undocumented status) | GQ in [1, 2] (household, not group quarters) | YEAR in [2009, 2010, 2011, 2013, 2014, 2015, 2016] (2012 excluded as DACA transition year) | YRIMMIG > 0 (valid year of immigration) | YRIMMIG <= BIRTHYR + 15 (arrived before 16th birthday) | YRIMMIG <= 2007 (in US continuously since at least 2007) | BIRTHYR in [1972, 1997] (control: 1972-1981 just-too-old; treated: 1982-1997 DACA-eligible)",(df['empstat'] == 1) & (df['uhrswork'] >= 35),(df['birthyr'] >= 1982).astype('int8'),WLS,"smf.wls('full_time ~ daca_eligible + daca_x_post + C(statefip) + C(year)', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",daca_x_post,C(statefip) | C(year),df['perwt'],cluster; {'groups': df['statefip']},0.17397,0.007718,81895,success
